Meeting Type;Vote Date;Vote Number;Agenda Description;Vote Start Date Time;Vote Decision
Council;2023-03-07;9083;RR4 Rezoning: 5995-6015 Dunbar Street;2023-03-07T10:25:04-08:00;Carried Unanimously
Council;2023-03-07;9084;RR5 CD-1 Rezoning: 3205 Arbutus Street;2023-03-07T10:25:21-08:00;Carried Unanimously
Council;2023-03-07;9087;NB4 Travel Request to BC Care Providers Association Annual Conference 2023;2023-03-07T10:28:00-08:00;Carried Unanimously
City Finance & Services;2023-03-08;9092;1. 901 Granville Street - Cinema Public House Ltd ('Cinema Restaurant') Dual Licence - Liquor Primary Licence Application Liquor Establishment - Class;2023-03-08T10:00:06-08:00;Carried Unanimously
City Finance & Services;2023-03-08;9093;4. Contract Award for Prequalified Contractors for Landfill Gasworks Program;2023-03-08T10:13:58-08:00;Carried Unanimously
City Finance & Services;2023-03-08;9094;5. 2023 Property Taxation: Development Potential Relief and Targeted Land Assessment Averaging;2023-03-08T12:00:05-08:00;Carried Unanimously
City Finance & Services;2023-03-08;9095;2. 1193 Granville Street - Cold Tea Restaurant Ltd ('Cold Tea Restaurant') Dual Licence - Liquor Primary Licence Application Liquor Establishment - Cl;2023-03-08T12:04:55-08:00;Carried Unanimously
City Finance & Services;2023-03-08;9096;3. 1202 Davie Street - Hamburger Mary's Davie Ltd ('Mary's on Davie') Dual Licence - Liquor Primary Licence Application Liquor Establishment - Class 2;2023-03-08T12:05:26-08:00;Carried Unanimously
Public Hearing;2023-03-09;9098;1. Rezoning: 817-837 West 28th Avenue and 4375 Willow Street;2023-03-09T18:19:29-08:00;Carried Unanimously
Public Hearing;2023-03-09;9099;2. CD-1 Rezoning: 7688-7720 Cambie Street;2023-03-09T18:30:21-08:00;Carried Unanimously
Public Hearing;2023-03-09;9100;3. CD-1 Rezoning: 103-111 North Templeton Drive and 2185 Oxford Street;2023-03-09T22:10:47-08:00;Lost
Public Hearing;2023-03-09;9101;3. CD-1 Rezoning: 103-111 North Templeton Drive and 2185 Oxford Street;2023-03-09T22:33:41-08:00;Carried
Public Hearing;2023-03-09;9102;4. Zoning and Development By-law Amendments to Schedule E Building Lines;2023-03-09T22:51:43-08:00;Carried Unanimously
Council;2023-03-28;9105;R2 2023 Animal Welfare Grant;2023-03-28T09:56:26-07:00;Carried Unanimously
Council;2023-03-28;9106;R3 2023 Community Services and Other Social Grants;2023-03-28T11:00:17-07:00;Carried Unanimously
Council;2023-03-28;9107;R3 2023 Community Services and Other Social Grants;2023-03-28T11:10:23-07:00;Carried Unanimously
Council;2023-03-28;9108;R3 2023 Community Services and Other Social Grants;2023-03-28T11:17:39-07:00;Carried Unanimously
Council;2023-03-28;9111;R4 Housing and Homelessness Services 2023 Grants: Renter Services Grants and SRO Tenants Support Grant;2023-03-28T11:28:32-07:00;Carried Unanimously
Council;2023-03-28;9112;R4 Housing and Homelessness Services 2023 Grants: Renter Services Grants and SRO Tenants Support Grant;2023-03-28T11:30:41-07:00;Carried Unanimously
Council;2023-03-28;9113;R5 Grant to BC Housing to Support Continuation of Temporary Shelter at 15-27 West Hastings (Bud Osborn Shelter);2023-03-28T11:34:00-07:00;Carried Unanimously
Council;2023-03-28;9114;R5 Grant to BC Housing to Support Continuation of Temporary Shelter at 15-27 West Hastings (Bud Osborn Shelter);2023-03-28T11:34:49-07:00;Carried Unanimously
Council;2023-03-28;9115;R9 Regulating the Sale of Bear Spray;2023-03-28T11:48:12-07:00;Carried Unanimously
Council;2023-03-28;9116;R1 Vancouver Community Sport Event Grants - Spring 2023 Intake;2023-03-28T12:19:29-07:00;Carried Unanimously
Council;2023-03-28;9117;R6 Annual Federation of Canadian Municipalities (FCM), Union of British Columbia Municipalities (UBCM), and Lower Mainland Local Government Association (LMLGA) Membership Fees for 2023 to 2024;2023-03-28T12:20:04-07:00;Carried Unanimously
Council;2023-03-28;9118;R7 Contract Award for Consultant for Landfill Design and Contract Administration - Phase 5 Closure;2023-03-28T12:20:30-07:00;Carried Unanimously
Council;2023-03-28;9119;R8 Contract Award for Construction of Sewer Separation on West 54th Avenue;2023-03-28T12:21:45-07:00;Carried Unanimously
Council;2023-03-28;9120;RR1 CD-1 Rezoning: 4065 Victoria Drive (Cedar Cottage Neighbourhood House);2023-03-28T12:22:05-07:00;Carried Unanimously
Council;2023-03-28;9121;RR2 CD-1 Rezoning: 1045 Burnaby Street;2023-03-28T12:22:21-07:00;Carried Unanimously
Council;2023-03-28;9122;RR3 Rezoning: 2126 West 34th Avenue and 5025 Arbutus Street and 2109-2129 West 35th Avenue;2023-03-28T12:22:46-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9127;4. 2022 Statement of Financial Information;2023-03-29T11:59:21-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9128;5. Approval of 2023-24 Business Improvement Area (BIA) Budgets;2023-03-29T11:59:43-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9129;6. 1339 Robson Street - 1339 Robson Holdings Ltd (SWITCH) Dual Licence - Liquor Primary Licence Application Liquor Establishment - Class 3;2023-03-29T12:00:16-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9130;9. 1149 Granville Street - Yorlenys Zuniga Morelo (Union Latino's Restaurant) Dual Licence - Liquor Primary Licence Application Liquor Establishment -;2023-03-29T12:00:52-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9131;1. Broadway Plan Implementation;2023-03-29T13:47:32-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9132;1. Broadway Plan Implementation;2023-03-29T14:05:40-07:00;Lost
Policy & Strategic Priorities;2023-03-29;9133;1. Broadway Plan Implementation;2023-03-29T14:29:39-07:00;Lost
Policy & Strategic Priorities;2023-03-29;9134;1. Broadway Plan Implementation;2023-03-29T14:57:44-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9135;1. Broadway Plan Implementation;2023-03-29T14:58:46-07:00;Lost
Policy & Strategic Priorities;2023-03-29;9136;3. West End Rezoning Policy: Secured Rental Housing Option in the Burrard Corridor;2023-03-29T15:52:40-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-29;9137;3. West End Rezoning Policy: Secured Rental Housing Option in the Burrard Corridor;2023-03-29T15:55:49-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-30;9138;2. Broadway Active Transportation Lanes - Next Steps;2023-03-30T15:46:21-07:00;Carried
Policy & Strategic Priorities;2023-03-30;9139;2. Broadway Active Transportation Lanes - Next Steps;2023-03-30T15:50:00-07:00;Carried
Policy & Strategic Priorities;2023-03-30;9140;7. 67 West 6th Avenue - Turntable Hospitality Corporation (Mount Pleasant Vintage & Provisions) Dual Licence - Liquor Primary Licence Application Liqu;2023-03-30T18:08:23-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-30;9141;8. 1728 Commercial Drive - 1280646 B.C. Ltd (Osita) Liquor Primary Licence Application Liquor Establishment - Class 2;2023-03-30T18:13:12-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-30;9142;10. 251 East Georgia Street - Blind Tiger Hospitality Ltd (Blind Tiger Dumplings) Dual Licence - Liquor Primary Licence Application Liquor Establishme;2023-03-30T18:19:22-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-30;9143;10. 251 East Georgia Street - Blind Tiger Hospitality Ltd (Blind Tiger Dumplings) Dual Licence - Liquor Primary Licence Application Liquor Establishme;2023-03-30T18:25:51-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-30;9144;13. Water Works By-law Exemptions and/or Viable Exceptions for Notable Decorative City Water Features (Motion B.2);2023-03-30T18:49:07-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-03-30;9145;11. 23 West Cordova Street - 1220123 B.C. Ltd. (Blood Alley Music Hall) Event-Drive Liquor Primary Licence Application Liquor Establishment (Venue);2023-03-30T18:54:25-07:00;Carried Unanimously
Council;2023-04-11;9148;1. Recalibration of Community Amenity Contribution Targets;2023-04-11T10:48:01-07:00;Carried Unanimously
Council;2023-04-11;9149;2. Sites for 2023 Alcohol Consumption in Public Plazas Program;2023-04-11T10:49:02-07:00;Carried Unanimously
Council;2023-04-11;9150;3. Auditor General Committee March 2, 2023 Recommendations Transmittal Report;2023-04-11T10:49:44-07:00;Carried Unanimously
Council;2023-04-11;9151;4. Funding Application to the UBCM Community Emergency Preparedness Fund for Emergency Operations Centres (EOCs) and Training;2023-04-11T10:50:20-07:00;Carried Unanimously
Council;2023-04-11;9152;1. Recalibration of Density Bonus Contributions;2023-04-11T10:50:54-07:00;Carried Unanimously
Council;2023-04-11;9154;2. City-Initiated Zoning Changes for Townhouses and Rowhouses in the Cambie Corridor;2023-04-11T10:51:43-07:00;Carried Unanimously
Council;2023-04-11;9156;3. CD-1 Rezoning: 1040-1080 Barclay Street;2023-04-11T10:52:23-07:00;Carried Unanimously
Council;2023-04-11;9157;4. CD-1 Rezoning: 855-865 West 10th Avenue;2023-04-11T10:52:48-07:00;Carried Unanimously
Council;2023-04-11;9158;5. CD-1 Rezoning: 208 East 54th Avenue, 7018-7078 Main Street and 211 East 55th Avenue;2023-04-11T10:53:23-07:00;Carried Unanimously
Council;2023-04-11;9159;By-laws - Reconsideration Vote;2023-04-11T10:53:52-07:00;Carried Unanimously
Council;2023-04-11;9160;By-Law 2 - A By-law to amend License By-law No. 4450 regarding the sale of bear spray - Amendment;2023-04-11T10:54:29-07:00;Carried Unanimously
Council;2023-04-11;9161;By-Law 2 - A By-law to amend License By-law No. 4450 regarding the sale of bear spray - By-law as Amended;2023-04-11T10:54:52-07:00;Carried Unanimously
Council;2023-04-12;9162;2023 Cultural Grants (Balance of Operating Grants);2023-04-12T09:44:26-07:00;Carried Unanimously
Council;2023-04-12;9163;Mayorâ€™s Budget Task Force (Membersâ€™ Motion B5) - Amendment 1;2023-04-12T10:13:02-07:00;Lost
Council;2023-04-12;9164;Mayorâ€™s Budget Task Force (Membersâ€™ Motion B5)- Amendment to Amendment;2023-04-12T10:29:01-07:00;Carried
Council;2023-04-12;9165;Mayorâ€™s Budget Task Force (Membersâ€™ Motion B5) - Amended Amendment;2023-04-12T10:30:13-07:00;Carried Unanimously
Council;2023-04-12;9166;Mayorâ€™s Budget Task Force (Membersâ€™ Motion B5) - Amendment to Amendment (Amendment 3);2023-04-12T10:40:42-07:00;Lost
Council;2023-04-12;9168;Mayorâ€™s Budget Task Force (Membersâ€™ Motion B5) - Amendment 3;2023-04-12T10:43:36-07:00;Lost
Council;2023-04-12;9169;Mayorâ€™s Budget Task Force (Membersâ€™ Motion B5) - Amendment 4;2023-04-12T11:01:11-07:00;Lost
Council;2023-04-12;9170;Mayorâ€™s Budget Task Force (Membersâ€™ Motion B5) - Final Amended Motion;2023-04-12T11:09:50-07:00;Carried Unanimously
Council;2023-04-12;9171;Amping up the Arts Event License Policy to Support Arts & Culture in Vancouver (Membersâ€™ Motion B4) - Amendment to Amendment;2023-04-12T11:51:44-07:00;Carried Unanimously
Council;2023-04-12;9172;Amping up the Arts Event License Policy to Support Arts & Culture in Vancouver (Membersâ€™ Motion B4)- Amended Amendment;2023-04-12T11:52:15-07:00;Carried Unanimously
Council;2023-04-12;9173;Amping up the Arts Event License Policy to Support Arts & Culture in Vancouver (Membersâ€™ Motion B4) - Final Amended Motion;2023-04-12T11:58:15-07:00;Carried Unanimously
Council;2023-04-12;9174;Improving Climate Resilience and Reducing Emissions in Existing Multi-Family Buildings (Membersâ€™ Motion B2);2023-04-12T12:09:37-07:00;Carried Unanimously
Council;2023-04-12;9175;Updating Guidelines to Allow for Wine-on-Shelf Sales in Vancouver Grocery Stores (Membersâ€™ Motion B3);2023-04-12T12:24:06-07:00;Carried Unanimously
Council;2023-04-12;9176;New Leases for Eight Child Care Centres and Two Family Place Drop-in Centres;2023-04-12T12:34:55-07:00;Carried Unanimously
Council;2023-04-12;9177;Expanding the Inter-municipal TNS Business Licence to include Hope, Kent and Mission;2023-04-12T12:35:18-07:00;Carried Unanimously
Council;2023-04-12;9178;Annual Procurement Report 2022;2023-04-12T12:35:42-07:00;Carried Unanimously
Public Hearing;2023-04-13;9180;1. Miscellaneous Amendments â€“ Zoning and Development By-law and Various Other By laws and Land Use Documents;2023-04-13T18:13:07-07:00;Carried Unanimously
Public Hearing;2023-04-13;9181;2. Minor Regulatory and Policy Amendments;2023-04-13T18:23:37-07:00;Carried Unanimously
Council;2023-04-25;9182;1. Accessibility Strategy Implementation Update and Council Motion Report Back;2023-04-25T11:57:09-07:00;Carried Unanimously
Council;2023-04-25;9183;1. Accessibility Strategy Implementation Update and Council Motion Report Back;2023-04-25T11:59:46-07:00;Carried Unanimously
Council;2023-04-25;9184;3. 2022 Property Tax Exemptions;2023-04-25T12:28:20-07:00;Carried Unanimously
Council;2023-04-25;9185;COMM 1. Changes to the 2023 Meeting Schedule;2023-04-25T12:28:29-07:00;Carried Unanimously
Council;2023-04-25;9186;4. Vancouver Heritage Foundation Board - Annual Report 2022;2023-04-25T12:29:21-07:00;Carried Unanimously
Council;2023-04-25;9187;5. Kerrisdale Park/Point Grey Secondary School Track and Field - Licence Agreement and Custody, Care, and Management of Land;2023-04-25T12:29:36-07:00;Carried Unanimously
Council;2023-04-25;9188;6. Funding Application to Disaster Risk Reduction-Climate Adaptation Program;2023-04-25T12:30:31-07:00;Carried Unanimously
Council;2023-04-25;9189;7. Oak Park - Permanent Public Park Designation;2023-04-25T12:30:46-07:00;Carried Unanimously
Council;2023-04-25;9192;2. 2023 Property Taxation: Distribution of Property Tax Levy;2023-04-25T16:16:56-07:00;Carried Unanimously
Council;2023-04-25;9193;2. 2023 Property Taxation: Distribution of Property Tax Levy;2023-04-25T16:21:53-07:00;Carried Unanimously
Council;2023-04-25;9194;2. 2023 Property Taxation: Distribution of Property Tax Levy;2023-04-25T16:30:13-07:00;Lost
Council;2023-04-25;9195;2. 2023 Property Taxation: Distribution of Property Tax Levy;2023-04-25T16:30:46-07:00;Carried Unanimously
Council;2023-04-25;9196;8. Water Works By-law Exemptions and/or Viable Exceptions for Notable Decorative City Water Features;2023-04-25T17:16:40-07:00;Lost
Public Hearing;2023-04-25;9197;1. Rezoning: 657-685 East 18th Avenue;2023-04-25T18:25:14-07:00;Carried Unanimously
Public Hearing;2023-04-25;9198;2. Rezoning: 5995-6015 Dunbar Street;2023-04-25T18:38:54-07:00;Carried Unanimously
Public Hearing;2023-04-25;9199;3. CD-1 Rezoning: 3205 Arbutus Street;2023-04-25T18:47:19-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9201;6. 110 Water Street (Basement & Mezzanine Level) Little Mountain Gallery Community Arts Performance Association Liquor Primary Liquor Licence Applicat;2023-04-26T12:23:00-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9202;8. 1133 Robson Street - Primary Holdings Ltd (Fantacity Restaurant) Dual Licence - Liquor Primary Licence Application Liquor Establishment Class 2;2023-04-26T12:24:01-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9203;8. 1133 Robson Street - Primary Holdings Ltd (Fantacity Restaurant) Dual Licence - Liquor Primary Licence Application Liquor Establishment Class 2;2023-04-26T12:24:25-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9204;8. 1133 Robson Street - Primary Holdings Ltd (Fantacity Restaurant) Dual Licence - Liquor Primary Licence Application Liquor Establishment Class 2;2023-04-26T12:24:37-07:00;Carried Unanimously
Council;2023-04-26;9205;8. Water Works By-law Exemptions and/or Viable Exceptions for Notable Decorative City Water Features;2023-04-26T14:15:43-07:00;Carried Unanimously
Council;2023-04-26;9206;8. Water Works By-law Exemptions and/or Viable Exceptions for Notable Decorative City Water Features;2023-04-26T14:25:35-07:00;Carried Unanimously
Council;2023-04-26;9207;8. Water Works By-law Exemptions and/or Viable Exceptions for Notable Decorative City Water Features;2023-04-26T14:26:25-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9208;3. Policy Enquiry Process Directions Report - Shawn Oaks and Louis Brier Home and Hospital Unique Sites Precinct;2023-04-26T15:30:29-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9209;3. Policy Enquiry Process Directions Report - Shawn Oaks and Louis Brier Home and Hospital Unique Sites Precinct;2023-04-26T15:34:06-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9210;4. Annual Report of the Office of the Integrity Commissioner and Review of the Code of Conduct By-law;2023-04-26T16:19:59-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9211;4. Annual Report of the Office of the Integrity Commissioner and Review of the Code of Conduct By-law;2023-04-26T16:20:47-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9212;5. Parking Meter Fees in Chinatown;2023-04-26T16:35:24-07:00;Carried Unanimously
Policy & Strategic Priorities;2023-04-26;9213;7. 212 Carrall Street - 1289491 B.C. Ltd (Smith's) Dual Licence - Liquor Primary Licence Application Liquor Establishment - Class 1;2023-04-26T16:58:53-07:00;Carried Unanimously
